Source sentence,Answer sentence,event1,event2,label
" causal </s></s> unrelated </s></s> Likewise , AST Research Inc. and Sun Microsystems Inc. said the bugs wo n't delay their development of 486-based machines . Machines using the 486 are expected to challenge higher-priced work stations and minicomputers in applications such as so-called servers , which connect groups of computers together , and in computer-aided design . ",delay has no relation to using ,delay ,using ,NONE
" causal </s></s> unrelated </s></s> Because of the glitch , however , the company said it does n't know when its machine will be commercially available . Machines using the 486 are expected to challenge higher-priced work stations and minicomputers in applications such as so-called servers , which connect groups of computers together , and in computer-aided design . ",know has no relation to expected ,know ,expected ,NONE
" causal </s></s> unrelated </s></s> Intel said it had corrected the problems and would start producing bugless chips next week . But while International Business Machines Corp. and Compaq Computer Corp. say the bugs will delay products , most big computer makers said the flaws do n't affect them . ",start has no relation to delay ,start ,delay ,NONE
" causal </s></s> unrelated </s></s> On Friday , Intel began notifying customers about the bugs which cause the chip to give wrong answers for some mathematical calculations . Likewise , AST Research Inc. and Sun Microsystems Inc. said the bugs wo n't delay their development of 486-based machines . ",cause has no relation to delay ,cause ,delay ,NONE
" causal </s></s> unrelated </s></s> In a bit of television diplomacy , Iraq 's deputy foreign minister responded from Baghdad in less than one hour , saying Washington would break international law by attacking without UN approval . The united states is not authorized to use force before going to the council . ",responded has no relation to use ,responded ,use ,NONE
" causal </s></s> unrelated </s></s> It includes removing $ 242 million in good will from the books , issuing $ 150 million in preferred stock and commencing an exchange offer for $ 52 million in convertible bonds . The company said its junk-bond portfolio after these moves had been reduced to less than 1 % of assets . ",removing has no relation to said ,removing ,said ,NONE
 causal </s></s> unrelated </s></s> She said the move would result in a after-tax charge of less than $ 4 million to be spread over the next three quarters . ,move is the cause of charge ,move ,charge ,Cause-Effect
" causal </s></s> unrelated </s></s> Earnings at Xerox 's financial-services operations actually rose slightly , but that was largely because capital gains at Crum amp Forster offset Hurricane Hugo payments and the reserves set up to cover future payments . ",offset is the cause of rose ,offset ,rose ,Cause-Effect
" causal </s></s> unrelated </s></s> Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments . ",Hurricane is the cause of payments ,Hurricane ,payments ,Cause-Effect
" causal </s></s> unrelated </s></s> Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments . ",earthquake is the cause of payments ,earthquake ,payments ,Cause-Effect
" causal </s></s> unrelated </s></s> A spokeswoman for Crum amp Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move . Earnings at Xerox 's financial-services operations actually rose slightly , but that was largely because capital gains at Crum amp Forster offset Hurricane Hugo payments and the reserves set up to cover future payments . ",said has no relation to rose ,said ,rose ,NONE
" causal </s></s> unrelated </s></s> She said the move would result in a after-tax charge of less than $ 4 million to be spread over the next three quarters . Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments . ",move has no relation to Hurricane ,move ,Hurricane ,NONE
" causal </s></s> unrelated </s></s> Property / casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments . Earnings at Xerox 's financial-services operations actually rose slightly , but that was largely because capital gains at Crum amp Forster offset Hurricane Hugo payments and the reserves set up to cover future payments . ",Hurricane has no relation to offset ,Hurricane ,offset ,NONE
" causal </s></s> unrelated </s></s> A spokeswoman for Crum amp Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move . Xerox Corp. has told employees in its Crum amp Forster personal insurance operations that it is laying off about 300 people , or 25 % of the staff . ",said has no relation to laying ,said ,laying ,NONE
" causal </s></s> unrelated </s></s> But tremors are likely in the junk-bond market , which has helped to finance the takeover boom of recent years . ",tremors is the cause of finance ,tremors ,finance ,Cause-Effect
" causal </s></s> unrelated </s></s> Those withdrawals , most of which were transferred to other T. Rowe Price funds , followed little change in the fund 's sales picture this year through August . "" ",change is the cause of withdrawals ,change ,withdrawals ,Cause-Effect
" causal </s></s> unrelated </s></s> Junk-fund holders have barely broken even this year , as fat interest payments barely managed to offset declining prices . ",managed is the cause of broken ,managed ,broken ,Cause-Effect
" causal </s></s> unrelated </s></s> Mutual fund officials say that investors have transferred most of it into their money market accounts , and to a lesser extent , government-bond funds . Last week alone , an eye-popping $ 1.6 billion flowed out of the junk funds , or nearly 5 % of their total assets , according to estimates by Dalbar Financial Services Inc., a Boston research firm . ",transferred has no relation to according ,transferred ,according ,NONE
" causal </s></s> unrelated </s></s> Junk-fund holders have barely broken even this year , as fat interest payments barely managed to offset declining prices . $ 14 million of that seeped out Friday Oct. 13 alone . ",broken has no relation to seeped ,broken ,seeped ,NONE
" causal </s></s> unrelated </s></s> If the heavy outflows continue , fund managers will face increasing pressure to sell off some of their junk to pay departing investors in the weeks ahead . But tremors are likely in the junk-bond market , which has helped to finance the takeover boom of recent years . ",sell has no relation to boom ,sell ,boom ,NONE
 causal </s></s> unrelated </s></s> The company said that because of softening sales it is n't in compliance with requirements that it maintain $ 3 million in working capital . ,sales is the cause of in ,sales ,in ,Cause-Effect
" causal </s></s> unrelated </s></s> For the nine months , the company reported a net loss of $ 608,413 , or 39 cents a share , compared with year-earlier net income of $ 967,809 , or 62 cents a share . ",loss has no relation to income ,loss ,income ,NONE
" causal </s></s> unrelated </s></s> The move rewards shareholders and should improve the stock 's liquidity , Oneida said . ",rewards is the cause of improve ,rewards ,improve ,Cause-Effect
" causal </s></s> unrelated </s></s> The cash dividend paid on the common stock also will apply to the new shares , the company said . The Oneida , N.Y., maker of consumer , food-service and industrial products also declared a quarterly cash dividend of 12 cents a share , with the same payable and record dates . ",said has no relation to declared ,said ,declared ,NONE
" causal </s></s> unrelated </s></s> However , Russia has stalled ratification , trying to tie it to an agreement that would permit the Russian navy to use a naval base on Ukraine 's Crimean peninsula for at least 20 more years . ",agreement is the cause of use ,agreement ,use ,Cause-Effect
" causal </s></s> unrelated </s></s> The two presidents on Friday signed the plan , which calls for cooperation in the metallurgy , fuel , energy , aircraft building , missile , space and chemical industries . A major project is joint manufacturing of An-70 cargo planes , the Kremlin statement said . ",cooperation has no relation to said ,cooperation ,said ,NONE
" causal </s></s> unrelated </s></s> Robert Mellor , Di Giorgio 's executive vice president , said the company stands to reap more money through the sale of individual units to others than by accepting DIG 's offer . ",reap has no relation to accepting ,reap ,accepting ,NONE
" causal </s></s> unrelated </s></s> The companies said the transaction is being structured this way because the laws of the Netherlands Antilles , under which Erbamont is organized , do n't provide for merger transactions . ",provide is the cause of structured ,provide ,structured ,Cause-Effect
" causal </s></s> unrelated </s></s> The tender offer will be followed by the sale of all of Erbamont 's assets , subject to all of its liabilities , to Montedison . ",sale has no relation to offer ,sale ,offer ,NONE
 causal </s></s> unrelated </s></s> The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations . ,petition is the cause of came ,petition ,came ,Cause-Effect
" causal </s></s> unrelated </s></s> The White House said Mr. Bush decided to grant duty-free status for 18 categories , but turned down such treatment for other types of watches "" because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands . "" ",potential is the cause of turned ,potential ,turned ,Cause-Effect
" causal </s></s> unrelated </s></s> The White House said Mr. Bush decided to grant duty-free status for 18 categories , but turned down such treatment for other types of watches "" because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands . "" ",decided has no relation to grant ,decided ,grant ,NONE
" causal </s></s> unrelated </s></s> Imports of the types of watches that now will be eligible for duty-free treatment totaled about $ 37.3 million in 1988 , a relatively small share of the $ 1.5 billion in U.S. watch imports that year , according to an aide to U.S. Trade Representative Carla Hills . The White House said President Bush has approved duty-free treatment for imports of certain types of watches that are n't produced in "" significant quantities "" in the U.S., the Virgin Islands and other U.S. possessions . ",eligible has no relation to approved ,eligible ,approved ,NONE
" causal </s></s> unrelated </s></s> The preferred shares will carry a floating annual dividend equal to 72 % of the 30-day bankers ' acceptance rate until Dec . 31 , 1994 . Mr. Vaux said that if no agreement is reached , other buyers will be sought by bid or auction . ",carry has no relation to sought ,carry ,sought ,NONE
 causal </s></s> unrelated </s></s> DD Acquisition said the extension is to allow this process to be completed . ,extension is the cause of completed ,extension ,completed ,Cause-Effect
" causal </s></s> unrelated </s></s> Acquisition has launched a suit in a Delaware court seeking the withdrawal of Dunkin 's poison pill rights and employee stock ownership plans , which it claims were put in place to deter bidders . ",withdrawal has no relation to launched ,withdrawal ,launched ,NONE
" causal </s></s> unrelated </s></s> Seventy-five million copies of the rifle have been built since it entered production in February 1947 , making it history 's most widely distributed weapon . ",built is the cause of distributed ,built ,distributed ,Cause-Effect
" causal </s></s> unrelated </s></s> MOSCOW ( AP ) _ The mayor of Moscow has allocated funds to help build a museum in honor of Mikhail Kalashnikov , the Russian who gave his name to the world 's most widely wielded weapon , according to a news agency report Friday . ",allocated has no relation to gave ,allocated ,gave ,NONE
" causal </s></s> unrelated </s></s> Revenue totaled $ 1.01 billion , a 43 % increase from $ 704.4 million , reflecting the company 's acquisition of Emery earlier this year . ",increase is the cause of acquisition ,increase ,acquisition ,Cause-Effect
" causal </s></s> unrelated </s></s> Profit also suffered because of "" intense "" discounting in its long-haul trucking business , the company said . ",discounting is the cause of suffered ,discounting ,suffered ,Cause-Effect
" causal </s></s> unrelated </s></s> Revenue totaled $ 1.01 billion , a 43 % increase from $ 704.4 million , reflecting the company 's acquisition of Emery earlier this year . "" They have to continue to tighten their belts , "" said Craig Kloner , an analyst at Goldman , Sachs amp Co. ",reflecting has no relation to tighten ,reflecting ,tighten ,NONE
" causal </s></s> unrelated </s></s> "" They have to continue to tighten their belts , "" said Craig Kloner , an analyst at Goldman , Sachs amp Co. Consolidated Freightways Inc. reported a 77 % drop in third-quarter net income , citing expected losses in its Emery Worldwide shipping business . ",continue has no relation to reported ,continue ,reported ,NONE
" causal </s></s> unrelated </s></s> Serbian police say they are trying to eliminate the pro-independence Kosovo Liberation Army and restore order . ISTANBUL , Turkey ( AP ) _ Some 1,500 ethnic Albanians marched Sunday in downtown Istanbul , burning Serbian flags to protest the killings of ethnic Albanians by Serb police in southern Serb Kosovo province . ",eliminate has no relation to marched ,eliminate ,marched ,NONE
" causal </s></s> unrelated </s></s> Canada 's largest department store operator said the rights offering will entitle holders of its ordinary shares , except residents in the U.S. and Britain , to subscribe for two additional shares for every five shares held at a price of C $ 31.25 a share . Proceeds of the offering will be used to redeem C $ 264 million of preferred shares and to reduce short-term debt , the company said . ",entitle has no relation to said ,entitle ,said ,NONE
" causal </s></s> unrelated </s></s> In the year-earlier quarter , the automobile and trucking insurer had earnings of $ 1.4 million , or 48 cents a share on a restated basis , on revenue of $ 16.5 million . In an interview , W. Brent LeGere , chairman and chief executive officer , said he expects revenue in the latest quarter to total about $ 28 million . ",had has no relation to expects ,had ,expects ,NONE
" causal </s></s> unrelated </s></s> But with the task-force investigation just getting under way , officials have been careful not to draw any firm conclusions , leaving open the possibility of a serial killer in some of the cases . ",getting is the cause of careful ,getting ,careful ,Cause-Effect
" causal </s></s> unrelated </s></s> NEWARK , N.J. _ A new Essex County task force began delving Thursday into the slayings of 14 black women over the last five years in the Newark area , as law-enforcement officials acknowledged that they needed to work harder to solve the cases of murdered women . But with the task-force investigation just getting under way , officials have been careful not to draw any firm conclusions , leaving open the possibility of a serial killer in some of the cases . ",work has no relation to leaving ,work ,leaving ,NONE
" causal </s></s> unrelated </s></s> Then the Baghdad government stopped providing Ritter 's team with escorts , making it impossible for him to enter any site . ",stopped is the cause of enter ,stopped ,enter ,Cause-Effect
" causal </s></s> unrelated </s></s> Ritter 's return is seen as something of a test of that agreement , under which Iraq agreed to give inspectors full access to eight of Saddam Hussein 's presidential palaces . ",agreement is the cause of access ,agreement ,access ,Cause-Effect
 causal </s></s> unrelated </s></s> The Security Council has said it will not lift the sweeping sanctions imposed on Iraq after its 1990 invasion of Kuwait until the U.N. inspectors certify that Baghdad has eliminated its weapons of mass destruction . ,invasion is the cause of sanctions ,invasion ,sanctions ,Cause-Effect
" causal </s></s> unrelated </s></s> The U.N.-Iraq accord was worked out by U.N. Secretary - General Kofi Annan , who appointed a retired Indian diplomat on Thursday as his special representative to Iraq . The U.N. Security Council has charged the inspectors with verifying that Iraq has destroyed its long-range missiles and weapons of mass destruction . ",appointed has no relation to verifying ,appointed ,verifying ,NONE
" causal </s></s> unrelated </s></s> "" All sites were inspected to the satisfaction of the inspection team and with full cooperation of Iraqi authorities , "" Dacey said . The official said these sites could only be visited by a special team of U.N. monitors and diplomats as laid down by the Feb . 23 accord signed by U.N. Secretary - General Kofi Annan and Iraqi Deputy Prime Minister Tariq Aziz . ",inspected has no relation to visited ,inspected ,visited ,NONE
 causal </s></s> unrelated </s></s> The official said these sites could only be visited by a special team of U.N. monitors and diplomats as laid down by the Feb . 23 accord signed by U.N. Secretary - General Kofi Annan and Iraqi Deputy Prime Minister Tariq Aziz . Iraq had argued the presidential sites should be off limits as symbols of sovereignty . ,visited has no relation to argued ,visited ,argued ,NONE
" causal </s></s> unrelated </s></s> The most controversial form of program trading , stock-index arbitrage , is "" making it tough for traders to make money , "" declares Robert Antolini , head of OTC trading at Donaldson , Lufkin amp Jenrette . ",arbitrage is the cause of tough ,arbitrage ,tough ,Cause-Effect
 causal </s></s> unrelated </s></s> Other market-maker gripes : Program trading also causes the Nasdaq Composite Index to lose ground against other segments of the stock market . ,trading is the cause of lose ,trading ,lose ,Cause-Effect
" causal </s></s> unrelated </s></s> Because of program trading it is more difficult to trade many OTC stocks without sharp price moves , a condition known as illiquidity . ",trading is the cause of difficult ,trading ,difficult ,Cause-Effect
" causal </s></s> unrelated </s></s> Moreover , the price volatility that is amplified by program trading is undercutting efforts to woo individual investors back to an OTC market that sorely misses them . ",trading is the cause of amplified ,trading ,amplified ,Cause-Effect
" causal </s></s> unrelated </s></s> Peter DaPuzzo , head of retail equity trading at Shearson Lehman Hutton , acknowledges that he was n't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising . ",added is the cause of troubled ,added ,troubled ,Cause-Effect
" causal </s></s> unrelated </s></s> Peter DaPuzzo , head of retail equity trading at Shearson Lehman Hutton , acknowledges that he was n't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising . ",pleased is the cause of troubled ,pleased ,troubled ,Cause-Effect
" causal </s></s> unrelated </s></s> That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled . Of course , there were sell programs in past years , too , but they seem to hurt market makers more painfully these days . ",measures is the cause of hurt ,measures ,hurt ,Cause-Effect
" causal </s></s> unrelated </s></s> And to protect their reduced capital investment from eroding further , market makers became quicker to lower price quotes when sell programs are in progress . ",became is the cause of eroding ,became ,eroding ,Cause-Effect
" causal </s></s> unrelated </s></s> "" It 's harder to sell stocks when the sell programs come in because some market makers do n't want to { take the orders } . ",want is the cause of harder ,want ,harder ,Cause-Effect
" causal </s></s> unrelated </s></s> The main reason for this lag is that individual investors own 65 % of the OTC market 's capitalization , according to Mr. Hardiman , much more than on the Big Board . ",own is the cause of lag ,own ,lag ,Cause-Effect
 causal </s></s> unrelated </s></s> LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications . ,sweetened is the cause of tendering ,sweetened ,tendering ,Cause-Effect
" causal </s></s> unrelated </s></s> LIN now plans to dole out $ 42 a share in cash , up from the earlier $ 20 amount . Because of program trading it is more difficult to trade many OTC stocks without sharp price moves , a condition known as illiquidity . ",dole has no relation to moves ,dole ,moves ,NONE
" causal </s></s> unrelated </s></s> That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled . And to protect their reduced capital investment from eroding further , market makers became quicker to lower price quotes when sell programs are in progress . ",fled has no relation to protect ,fled ,protect ,NONE
" causal </s></s> unrelated </s></s> Joseph Hardiman , president of the National Association of Securities Dealers , which oversees trading on Nasdaq , agrees that program trading is hurting the market 's efforts to bring back small investors . Starpointe Savings Bank rose 3 to 20 after the Federal Deposit Insurance Corp. approved Dime Savings Bank of New York 's $ 21-a-share acquisition of Starpointe . ",bring has no relation to approved ,bring ,approved ,NONE
" causal </s></s> unrelated </s></s> Kirschner earned $ 376,000 on revenue of $ 14.5 million in the 1988 quarter . Joseph Hardiman , president of the National Association of Securities Dealers , which oversees trading on Nasdaq , agrees that program trading is hurting the market 's efforts to bring back small investors . ",earned has no relation to bring ,earned ,bring ,NONE
" causal </s></s> unrelated </s></s> Moreover , the price volatility that is amplified by program trading is undercutting efforts to woo individual investors back to an OTC market that sorely misses them . Market makers in Nasdaq over-the-counter stocks are adding their voices to the swelling chorus of complaints about program trading . ",misses has no relation to adding ,misses ,adding ,NONE
" causal </s></s> unrelated </s></s> That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled . Weisfield 's rocketed 9 1/2 to 39 after the jewelry store operator said it is in preliminary discussions , with a party it would n't identify , regarding the possible acquisition of the company . ",crash has no relation to discussions ,crash ,discussions ,NONE
" causal </s></s> unrelated </s></s> "" It makes no sense for us to put money at risk when you know you 're going to lose , "" says Mr. Antolini , of Donaldson Lufkin . Because of program trading it is more difficult to trade many OTC stocks without sharp price moves , a condition known as illiquidity . ",sense has no relation to trade ,sense ,trade ,NONE
" causal </s></s> unrelated </s></s> Moreover , the price volatility that is amplified by program trading is undercutting efforts to woo individual investors back to an OTC market that sorely misses them . Because of program trading it is more difficult to trade many OTC stocks without sharp price moves , a condition known as illiquidity . ",trading has no relation to moves ,trading ,moves ,NONE
" causal </s></s> unrelated </s></s> That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled . Of course , there were sell programs in past years , too , but they seem to hurt market makers more painfully these days . ",measures has no relation to seem ,measures ,seem ,NONE
" causal </s></s> unrelated </s></s> LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications . Joseph Hardiman , president of the National Association of Securities Dealers , which oversees trading on Nasdaq , agrees that program trading is hurting the market 's efforts to bring back small investors . ",sweetened has no relation to efforts ,sweetened ,efforts ,NONE
" causal </s></s> unrelated </s></s> The stock fell 7/8 Thursday amid concerns over problems discovered with the chip . LIN now plans to dole out $ 42 a share in cash , up from the earlier $ 20 amount . ",concerns has no relation to plans ,concerns ,plans ,NONE
" causal </s></s> unrelated </s></s> Ocean Drilling amp Exploration Co. will sell its contract-drilling business , and took a $ 50.9 million loss from discontinued operations in the third quarter because of the planned sale . ",operations is the cause of loss ,operations ,loss ,Cause-Effect
" causal </s></s> unrelated </s></s> Ocean Drilling amp Exploration Co. will sell its contract-drilling business , and took a $ 50.9 million loss from discontinued operations in the third quarter because of the planned sale . ",sale is the cause of operations ,sale ,operations ,Cause-Effect
 causal </s></s> unrelated </s></s> The latest period had profit from continuing operations of $ 4 million . ,operations is the cause of had ,operations ,had ,Cause-Effect
" causal </s></s> unrelated </s></s> The latest period had profit from continuing operations of $ 4 million . Ocean Drilling amp Exploration Co. will sell its contract-drilling business , and took a $ 50.9 million loss from discontinued operations in the third quarter because of the planned sale . ",had has no relation to sale ,had ,sale ,NONE
" causal </s></s> unrelated </s></s> The latest period had profit from continuing operations of $ 4 million . In the third quarter , the company , which is 61 % - owned by Murphy Oil Corp. of Arkansas , had a net loss of $ 46.9 million , or 91 cents a share , compared with a restated loss of $ 9 million , or 18 cents a share , a year ago . ",operations has no relation to loss ,operations ,loss ,NONE
 causal </s></s> unrelated </s></s> Ocean Drilling said it wo n't hold any shares of the new company after the restructuring . ,restructuring has no relation to said ,restructuring ,said ,NONE
 causal </s></s> unrelated </s></s> It also was considering a restructuring to help boost the stock price . ,restructuring is the cause of boost ,restructuring ,boost ,Cause-Effect
" causal </s></s> unrelated </s></s> It received more offers , but the auction was surprisingly won by IMA , which bid $ 28 a share and asked Mr. Gilleland to stay on as an equity participant . IMA Holdings Corp. completed its $ 3 billion acquisition of American Medical International Inc., purchasing 63 million shares , or 86 % , of the Los Angeles-based health-care services concern for $ 26.50 a share . ",auction has no relation to purchasing ,auction ,purchasing ,NONE
 causal </s></s> unrelated </s></s> The move had been widely expected after northern Ireland police said they believe the IRA was behind two killings in Belfast last week . ,expected has no relation to behind ,expected ,behind ,NONE
" causal </s></s> unrelated </s></s> With the convergence of communications and information technologies ( IT ) coupled with the coming of age for the Internet and its related technologies , the stage is set for Malaysians to seize the chance to transform into a knowledge society and become worthy opponents / players in the global market space . ",convergence is the cause of set ,convergence ,set ,Cause-Effect
" causal </s></s> unrelated </s></s> However , it is important to note that installing or implementing Internet technologies for technology 's sake would not ensure instant success . ",installing is the cause of success ,installing ,success ,Cause-Effect
" causal </s></s> unrelated </s></s> However , it is important to note that installing or implementing Internet technologies for technology 's sake would not ensure instant success . ",implementing is the cause of success ,implementing ,success ,Cause-Effect
" causal </s></s> unrelated </s></s> For e-commerce to flourish with full-blown end-to-end business transactions , strategic planning which incorporates both business and technology plans that are complementary is necessary for an organisation to see feasible returns on investment . ",planning is the cause of see ,planning ,see ,Cause-Effect
" causal </s></s> unrelated </s></s> With intranets in place , it is only logical for organisations to respectively link the network to other companies ' for extended business purposes through extranets . While this will enable the sharing of information among enterprises , security issues such as firewalls and encryption as well as access and control procedures , and the trust levels that enterprises have with each other will emerge and there will be a need to address them . ",link is the cause of enable ,link ,enable ,Cause-Effect
" causal </s></s> unrelated </s></s> The Internet , the global network of computers , is now far reaching into the country - extending its embrace to include every nook and cranny of the nation - opening doors to not only a diverse range of information sources but also an exhaustive list of possibilities to create new applications which add value to people 's lives . Intranets , through the use of Internet technology , are positioned as a platform for companies to optimise , expand and transform new channels of business . ",add has no relation to expand ,add ,expand ,NONE
" causal </s></s> unrelated </s></s> While this will enable the sharing of information among enterprises , security issues such as firewalls and encryption as well as access and control procedures , and the trust levels that enterprises have with each other will emerge and there will be a need to address them . With the convergence of communications and information technologies ( IT ) coupled with the coming of age for the Internet and its related technologies , the stage is set for Malaysians to seize the chance to transform into a knowledge society and become worthy opponents / players in the global market space . ",enable has no relation to transform ,enable ,transform ,NONE
" causal </s></s> unrelated </s></s> MALAYSIA 's aggressive move into the information age could not come in a more opportune time . For e-commerce to flourish with full-blown end-to-end business transactions , strategic planning which incorporates both business and technology plans that are complementary is necessary for an organisation to see feasible returns on investment . ",come has no relation to see ,come ,see ,NONE
" causal </s></s> unrelated </s></s> Intranets , through the use of Internet technology , are positioned as a platform for companies to optimise , expand and transform new channels of business . Other than usage in business , Internet technology is also beginning to infiltrate the lifestyle domain . ",transform has no relation to infiltrate ,transform ,infiltrate ,NONE
" causal </s></s> unrelated </s></s> The application will create the necessary framework and infrastructure to support electronic commerce ( e-commerce ) initiatives in the country . With intranets in place , it is only logical for organisations to respectively link the network to other companies ' for extended business purposes through extranets . ",initiatives has no relation to link ,initiatives ,link ,NONE
" causal </s></s> unrelated </s></s> Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge . ",move is the cause of charge ,move ,charge ,Cause-Effect
" causal </s></s> unrelated </s></s> But the pharmaceutical company said it "" anticipates the long-term savings resulting from the plan 's implementation will more than offset short-term costs . "" ",implementation is the cause of savings ,implementation ,savings ,Cause-Effect
" causal </s></s> unrelated </s></s> But some analysts questioned how much of an impact the retirement package will have , because few jobs will end up being eliminated . ",end is the cause of questioned ,end ,questioned ,Cause-Effect
" causal </s></s> unrelated </s></s> Upjohn further estimated that about 50 % of the employees who leave for early retirement may be replaced . As a result , Upjohn will likely trim only about 275 to 350 of its more than 21,000 jobs world-wide . ",replaced is the cause of trim ,replaced ,trim ,Cause-Effect
" causal </s></s> unrelated </s></s> Chairman Theodore Cooper called the program part of the company 's two-year strategy to implement budget constraints and "" an effective headcount-control program . "" According to Upjohn 's estimates , only 50 % to 60 % of the 1,100 eligible employees will take advantage of the plan . ",strategy has no relation to take ,strategy ,take ,NONE
" causal </s></s> unrelated </s></s> The spokesman said it is the first early retirement plan offered under its two-year cost-control strategy . Upjohn officials said they could n't estimate the size of the charge until they determine which employees , and how many , will participate in the retirement plan . ",offered has no relation to participate ,offered ,participate ,NONE
" causal </s></s> unrelated </s></s> Earlier staff-reduction moves have trimmed about 300 jobs , the spokesman said . But the pharmaceutical company said it "" anticipates the long-term savings resulting from the plan 's implementation will more than offset short-term costs . "" ",moves has no relation to savings ,moves ,savings ,NONE
" causal </s></s> unrelated </s></s> But the pharmaceutical company said it "" anticipates the long-term savings resulting from the plan 's implementation will more than offset short-term costs . "" Upjohn further estimated that about 50 % of the employees who leave for early retirement may be replaced . ",savings has no relation to estimated ,savings ,estimated ,NONE
" causal </s></s> unrelated </s></s> The company said its shipments declined as a result of a reduction in inventories by service centers , a lackluster automotive market and increasing competitive pressures in the construction market . ",reduction is the cause of declined ,reduction ,declined ,Cause-Effect
" causal </s></s> unrelated </s></s> The company said its shipments declined as a result of a reduction in inventories by service centers , a lackluster automotive market and increasing competitive pressures in the construction market . ",increasing is the cause of declined ,increasing ,declined ,Cause-Effect
" causal </s></s> unrelated </s></s> At the same time , production costs , compared with a year ago , were boosted by higher raw material and employment costs , which resulted from the company 's new labor pact effective June 1 . ",pact is the cause of boosted ,pact ,boosted ,Cause-Effect
" causal </s></s> unrelated </s></s> "" We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , "" said Bethlehem Chairman Walter F. Williams . ",remains is the cause of exhibit ,remains ,exhibit ,Cause-Effect
" causal </s></s> unrelated </s></s> "" We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , "" said Bethlehem Chairman Walter F. Williams . ",continue is the cause of exhibit ,continue ,exhibit ,Cause-Effect
" causal </s></s> unrelated </s></s> Sales dropped to $ 441.1 million from $ 820.4 million , because the company no longer consolidates its Eastern Steel division , which is now a joint venture with Kawasaki Steel Corp. ",consolidates is the cause of dropped ,consolidates ,dropped ,Cause-Effect
" causal </s></s> unrelated </s></s> Along with reduced volume , analysts said the nation 's fifth largest steelmaker was hurt by holding higher-cost inventory when raw material costs of such key products as nickel dropped . ",holding is the cause of hurt ,holding ,hurt ,Cause-Effect
" causal </s></s> unrelated </s></s> The company noted that its Fox - Meyer Drug Co., Ben Franklin Stores Inc. and Permian Corp. operations showed improvements as a result of restructuring moves . ",moves is the cause of showed ,moves ,showed ,Cause-Effect
" causal </s></s> unrelated </s></s> However , its equity in the net income of National Steel declined to $ 6.3 million from $ 10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike . ",demand is the cause of declined ,demand ,declined ,Cause-Effect
" causal </s></s> unrelated </s></s> However , its equity in the net income of National Steel declined to $ 6.3 million from $ 10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike . ",orders is the cause of declined ,orders ,declined ,Cause-Effect
" causal </s></s> unrelated </s></s> He noted , however , that the company 's order entry has increased from the low levels of the early summer , following the end of labor negotiations . In the year-ago period , Bethlehem earned $ 101.4 million , or $ 1.27 a share , including a $ 3.8 million gain from early retirement of debt . ",following has no relation to earned ,following ,earned ,NONE
" causal </s></s> unrelated </s></s> Wall Street analysts expect the disappointing trend to continue into the fourth quarter and through at least the first two quarters of 1990 , when the industry will increasingly see the effect of price erosion in major product lines , such as rolled sheet used for cars , appliances and construction . At the same time , production costs , compared with a year ago , were boosted by higher raw material and employment costs , which resulted from the company 's new labor pact effective June 1 . ",continue has no relation to resulted ,continue ,resulted ,NONE
" causal </s></s> unrelated </s></s> It has n't diversified beyond steel , nor has it linked up with a joint venture partner to share costs and risks . Of all the major steelmakers , Bethlehem would seem to be the most vulnerable to a slowdown . ",diversified has no relation to vulnerable ,diversified ,vulnerable ,NONE
